Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R0","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-56.007000,-26.211500,270.000000,top
"R1","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-54.737000,-22.796500,270.000000,top
"R2","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-53.467000,-26.211500,270.000000,top
"R3","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-52.197000,-22.796500,270.000000,top
"R4","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-50.927000,-26.225500,270.000000,top
"R5","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-49.657000,-22.782500,270.000000,top
"R6","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-48.387000,-26.211500,270.000000,top
"R7","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-47.117000,-22.782500,270.000000,top
"R8","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-45.847000,-26.211500,270.000000,top
"R9","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-44.577000,-22.782500,270.000000,top
"R10","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-43.307000,-26.211500,270.000000,top
"R11","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-42.037000,-22.782500,270.000000,top
"R12","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-40.767000,-26.211500,270.000000,top
"R13","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-39.497000,-22.782500,270.000000,top
"R14","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-38.227000,-26.211500,270.000000,top
"R15","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-36.957000,-22.782500,270.000000,top
"R16","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-35.687000,-26.211500,270.000000,top
"R17","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-34.417000,-22.782500,270.000000,top
"R18","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-33.147000,-26.211500,270.000000,top
"R19","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-31.877000,-22.796500,270.000000,top
"R20","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-30.607000,-26.211500,270.000000,top
"R21","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-29.337000,-22.796500,270.000000,top
"R22","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-28.067000,-26.211500,270.000000,top
"R23","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-26.797000,-22.796500,270.000000,top
"R24","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-25.527000,-26.225500,270.000000,top
"R25","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-24.257000,-22.796500,270.000000,top
"R26","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-22.987000,-26.225500,270.000000,top
"R27","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-21.717000,-22.796500,270.000000,top
"R28","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-20.447000,-26.225500,270.000000,top
"R29","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-19.177000,-22.782500,270.000000,top
"R30","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-17.907000,-26.225500,270.000000,top
"R31","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-16.637000,-22.782500,270.000000,top
"R32","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-15.367000,-26.225500,270.000000,top
"R33","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-14.097000,-22.782500,270.000000,top
"R34","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-12.827000,-26.211500,270.000000,top
"R35","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-11.557000,-22.782500,270.000000,top
"R36","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-10.287000,-26.211500,270.000000,top
"R37","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-9.017000,-22.796500,270.000000,top
"R38","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-7.747000,-26.211500,270.000000,top
"R39","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-6.477000,-22.782500,270.000000,top
